electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total
property_ownership_OWN.01,month_7th,month_9th,water_heating_non_electric,occupant_type_OT.04,month_6th,month_3th,month_6th,property_type_PT.02,property_age_PA.01,month_5th
month_7th,month_4th,property_type_PT.06,water_heating_electric,month_5th,month_3th,month_7th,month_5th,property_type_PT.01,property_type_PT.02,property_type_PT.02
occupant_type_OT.05,month_6th,stove_heating_non_electric,occupant_type_OT.03,property_type_PT.01,month_7th,month_2th,property_type_PT.02,occupant_type_OT.04,property_age_PA.02,month_6th
occupant_type_OT.04,month_2th,space_heating_electric,property_type_PT.01,oven_heating_electric,month_5th,month_6th,property_age_PA.03,month_3th,stove_heating_electric,property_age_PA.04
property_type_PT.02,month_8th,oven_heating_non_electric,occupant_type_OT.05,property_type_PT.02,property_age_PA.02,property_type_PT.02,digital_tv_box,ev_charger,occupant_type_OT.04,digital_tv_box
month_6th,month_3th,property_ownership_OWN.02,property_ownership_OWN.02,stove_heating_non_electric,property_age_PA.04,month_4th,property_age_PA.02,month_4th,month_5th,property_type_PT.01
digital_tv_box,occupant_type_OT.02,month_3th,occupant_type_OT.06,stove_heating_electric,occupant_type_OT.04,digital_tv_box,occupant_type_OT.03,month_6th,occupant_type_OT.02,tv
month_8th,freezer,month_2th,property_ownership_OWN.01,tv,property_type_PT.05,occupant_type_OT.05,tumble_dryer,month_9th,stove_heating_non_electric,month_8th
games_console,oven_heating_electric,space_heating_non_electric,stove_heating_electric,space_heating_electric,electric_shower,games_console,dishwasher,month_8th,tumble_dryer,games_console
occupants,occupants,oven_heating_electric,property_age_PA.03,occupant_type_OT.05,dishwasher,month_8th,occupants,property_age_PA.01,property_type_PT.01,occupant_type_OT.05
month_9th,property_type_PT.02,month_5th,photo_voltaic_SOL.02,oven_heating_non_electric,tumble_dryer,stove_heating_electric,property_size,property_age_PA.02,games_console,property_age_PA.02
property_age_PA.01,electric_shower,month_4th,photo_voltaic_SOL.01,freezer,occupants,electric_shower,tv,property_ownership_OWN.01,occupant_type_OT.05,occupants
property_ownership_OWN.02,property_age_PA.01,microwave,month_5th,month_3th,property_type_PT.02,tumble_dryer,month_4th,dishwasher,property_ownership_OWN.02,freezer
freezer,dishwasher,toaster,property_type_PT.04,tablet,stove_heating_electric,space_heating_non_electric,month_8th,occupants,freezer,occupant_type_OT.04
month_2th,property_type_PT.05,month_8th,occupant_type_OT.02,tumble_dryer,occupant_type_OT.05,property_age_PA.02,occupant_type_OT.05,digital_tv_box,property_size,combi_fridge_freezer
tablet,stove_heating_non_electric,iron,microwave,month_8th,month_8th,tv,occupant_type_OT.04,combi_fridge_freezer,oven_heating_electric,property_age_PA.01
tumble_dryer,property_size,occupant_type_OT.03,property_type_PT.02,electric_shower,space_heating_non_electric,freezer,computer,property_ownership_OWN.02,oven_heating_non_electric,dishwasher
computer,fridge,grill_heating_non_electric,property_size,occupant_type_OT.03,month_2th,occupant_type_OT.03,property_ownership_OWN.02,freezer,property_age_PA.03,fridge
fridge,occupant_type_OT.05,property_ownership_OWN.01,month_6th,space_heating_non_electric,month_4th,tablet,month_2th,occupant_type_OT.03,electric_shower,computer
property_type_PT.05,stove_heating_electric,occupant_type_OT.04,property_type_PT.03,month_2th,digital_tv_box,occupants,fridge,month_2th,month_6th,tumble_dryer
combi_fridge_freezer,month_5th,occupants,oven_heating_electric,property_type_PT.04,property_type_PT.03,space_heating_electric,property_type_PT.04,month_5th,grill_heating_electric,month_2th
oven_heating_non_electric,grill_heating_electric,tumble_dryer,month_1th,games_console,property_size,month_5th,ev_charger,month_7th,space_heating_electric,occupant_type_OT.03
month_1th,oven_heating_non_electric,dishwasher,dishwasher,property_type_PT.03,oven_heating_electric,month_1th,freezer,occupant_type_OT.02,tv,property_type_PT.04
oven_heating_electric,property_age_PA.04,month_7th,oven_heating_non_electric,grill_heating_electric,occupant_type_OT.02,property_type_PT.03,water_heating_non_electric,stove_heating_non_electric,property_type_PT.03,stove_heating_non_electric
occupant_type_OT.03,dvd_or_blueray,stove_heating_electric,property_age_PA.01,occupant_type_OT.02,oven_heating_non_electric,stove_heating_non_electric,oven_heating_non_electric,stove_heating_electric,property_type_PT.05,stove_heating_electric
dishwasher,tumble_dryer,property_type_PT.02,stove_heating_non_electric,microwave,fridge,dishwasher,occupant_type_OT.02,tumble_dryer,digital_tv_box,property_size
grill_heating_electric,occupant_type_OT.03,digital_tv_box,grill_heating_electric,month_6th,games_console,property_size,microwave,property_age_PA.04,occupant_type_OT.03,property_type_PT.05
kettle,property_type_PT.03,property_type_PT.04,washing_machine,photo_voltaic_SOL.01,tv,property_type_PT.06,month_1th,dvd_or_blueray,property_age_PA.04,space_heating_non_electric
property_size,tv,electric_shower,month_3th,property_size,washing_machine,occupant_type_OT.04,month_3th,washing_machine,month_7th,month_9th
property_type_PT.04,grill_heating_non_electric,dvd_or_blueray,kettle,digital_tv_box,month_9th,month_9th,month_7th,property_type_PT.04,month_2th,month_4th
