electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total
computer,occupants,month_2th,electric_shower,computer,month_2th,tv,ev_charger,month_5th,property_size
month_8th,month_8th,property_size,property_size,month_8th,month_3th,electric_shower,month_8th,month_9th,occupants
tv,dvd_or_blueray,occupants,oven_heating_other,dvd_or_blueray,month_4th,month_8th,month_6th,electric_shower,property_type_PT.06
month_7th,tv,occupant_type_OT.04,stove_heating_other,digital_tv_box,month_5th,property_size,month_7th,property_size,property_age_PA.02
occupants,tablet,month_3th,games_console,fridge,property_size,month_5th,month_2th,occupants,property_age_PA.03
tablet,computer,month_4th,occupants,occupants,computer,tablet,month_5th,computer,property_age_PA.04
month_5th,month_7th,property_type_PT.06,property_age_PA.02,tv,tablet,dvd_or_blueray,month_4th,month_8th,property_ownership_OWN.02
property_size,month_5th,month_5th,month_5th,month_7th,tv,month_7th,month_3th,tablet,occupant_type_OT.03
electric_shower,tumble_dryer,dvd_or_blueray,toaster,month_4th,occupants,occupants,occupants,digital_tv_box,occupant_type_OT.04
combi_fridge_freezer,freezer,tumble_dryer,month_8th,property_type_PT.05,digital_tv_box,digital_tv_box,combi_fridge_freezer,property_type_PT.05,occupant_type_OT.05
occupant_type_OT.04,fridge,tablet,grill_heating_other,property_size,ev_charger,month_9th,property_type_PT.02,occupant_type_OT.03,occupant_type_OT.06
dvd_or_blueray,digital_tv_box,kettle,fridge,dishwasher,month_8th,ev_charger,dishwasher,property_type_PT.04,stove_heating_other
fridge,month_6th,month_6th,tablet,tablet,combi_fridge_freezer,dishwasher,washing_machine,ev_charger,grill_heating_other
digital_tv_box,month_3th,month_8th,month_7th,occupant_type_OT.04,games_console,tumble_dryer,computer,dishwasher,oven_heating_other
games_console,property_size,occupant_type_OT.03,digital_tv_box,occupant_type_OT.03,occupant_type_OT.04,computer,property_ownership_OWN.02,fridge,month_2th
property_age_PA.02,month_9th,month_7th,computer,month_5th,dvd_or_blueray,toaster,dvd_or_blueray,combi_fridge_freezer,month_3th
month_6th,games_console,stove_heating_other,tv,month_2th,electric_shower,games_console,tv,occupant_type_OT.04,month_4th
property_age_PA.04,month_4th,oven_heating_other,month_9th,games_console,fridge,occupant_type_OT.04,fridge,washing_machine,month_5th
property_age_PA.03,occupant_type_OT.03,electric_shower,property_age_PA.03,month_6th,oven_heating_other,month_2th,property_age_PA.02,dvd_or_blueray,month_6th
property_type_PT.02,month_2th,iron,property_ownership_OWN.02,toaster,property_age_PA.02,stove_heating_other,electric_shower,oven_heating_other,month_7th
toaster,property_type_PT.02,property_ownership_OWN.02,month_6th,month_3th,property_type_PT.02,property_age_PA.03,digital_tv_box,property_ownership_OWN.02,month_8th
freezer,toaster,property_age_PA.02,ev_charger,oven_heating_other,month_6th,combi_fridge_freezer,property_size,tv,property_type_PT.05
occupant_type_OT.05,stove_heating_other,property_age_PA.03,property_type_PT.04,property_type_PT.04,month_7th,freezer,month_9th,tumble_dryer,property_type_PT.04
property_type_PT.05,property_age_PA.04,dishwasher,dishwasher,freezer,freezer,property_type_PT.06,property_type_PT.05,toaster,property_type_PT.03
month_4th,electric_shower,digital_tv_box,property_type_PT.02,stove_heating_other,grill_heating_other,month_6th,grill_heating_other,property_type_PT.02,tumble_dryer
property_type_PT.04,dishwasher,toaster,combi_fridge_freezer,property_age_PA.02,property_type_PT.04,property_age_PA.02,freezer,property_age_PA.03,fridge
tumble_dryer,property_type_PT.04,computer,kettle,property_type_PT.02,tumble_dryer,occupant_type_OT.03,microwave,games_console,freezer
stove_heating_other,combi_fridge_freezer,property_type_PT.04,month_2th,tumble_dryer,property_ownership_OWN.02,fridge,kettle,property_age_PA.02,combi_fridge_freezer
grill_heating_other,property_ownership_OWN.02,grill_heating_other,dvd_or_blueray,combi_fridge_freezer,stove_heating_other,month_3th,toaster,property_age_PA.04,microwave
month_2th,oven_heating_other,games_console,occupant_type_OT.04,electric_shower,dishwasher,kettle,tumble_dryer,month_7th,kettle
