electricity_space_heating,electricity_water_heating,electricity_electric_vehicle,electricity_pool_or_sauna
dishwasher,electric_shower,occupant_type_OT.02,month_12th
freezer,property_age_PA.02,property_age_PA.02,occupant_type_OT.06
water_heating_other,water_heating_other,property_type_PT.02,occupant_type_OT.02
space_heating_other,occupant_type_OT.02,occupant_type_OT.03,microwave
occupant_type_OT.02,property_ownership_OWN.02,grill_heating_other,property_type_PT.03
fridge,microwave,tv,iron
month_12th,month_6th,ev_charger,tv
month_1th,kettle,freezer,property_age_PA.02
month_3th,month_5th,photo_voltaic_SOL.02,property_type_PT.02
games_console,month_1th,digital_tv_box,occupant_type_OT.03
iron,ev_charger,occupant_type_OT.04,fridge
occupant_type_OT.03,freezer,fridge,swimming_pool
electric_shower,month_2th,electric_shower,property_age_PA.03
computer,property_type_PT.04,occupants,kettle
grill,month_4th,property_age_PA.03,water_heating_other
property_type_PT.02,sauna,grill,occupants
month_2th,property_age_PA.03,sauna,dvd_or_blueray
month_7th,month_12th,oven_heating_other,stove_heating_other
dvd_or_blueray,property_type_PT.02,property_age_PA.04,space_heating_other
property_size,month_9th,month_12th,toaster
month_11th,occupant_type_OT.06,month_4th,computer
occupants,hob,combi_fridge_freezer,grill_heating_other
month_6th,fridge,month_8th,sauna
tumble_dryer,occupant_type_OT.04,swimming_pool,property_size
microwave,oven_heating_other,month_9th,electric_shower
property_type_PT.05,occupant_type_OT.05,dvd_or_blueray,property_ownership_OWN.02
washing_machine,dishwasher,tumble_dryer,washing_machine
grill_heating_other,photo_voltaic_SOL.02,month_3th,occupant_type_OT.04
occupant_type_OT.04,iron,month_11th,digital_tv_box
month_8th,month_11th,property_type_PT.06,grill
